index,type,type,name,usage(KB),total(KB)
198,  techset,techset,sm2/mc_effect_add_eyeoffset,1.5,1.5
199,  techset,techset,mc_effect_add_eyeoffset,1.4,1.4
200,  xmodel,xmodel,com_two_light_fixture_on,47.5,48.0
201,  xmodel,xmodel,vehicle_80s_wagon1_greendest,423.4,423.9
202,  xmodel,xmodel,prop_misc_rock_boulder_02,70.4,70.7
203,  xmodel,xmodel,mil_sandbag_desert_short,59.5,59.6
204,  xmodel,xmodel,mil_sandbag_desert_end_right,74.6,74.6
205,  xmodel,xmodel,mil_sandbag_desert_end_left,76.8,76.8
206,  xmodel,xmodel,prop_misc_rock_boulder_01,56.0,56.3
207,  xmodel,xmodel,vehicle_bulldozer,950.2,950.7
208,  xmodel,xmodel,com_tractor,421.3,421.5
209,  xmodel,xmodel,mil_sandbag_desert_curved,208.5,208.5
210,  xmodel,xmodel,vehicle_semi_truck_cargo,1294.8,1295.8
211,  xmodel,xmodel,me_cargocontainersingleface,636.2,636.8
212,  xmodel,xmodel,vehicle_tanker_truck_civ,629.0,630.6
213,  xmodel,xmodel,ap_table_square01,32.2,32.7
214,  xmodel,xmodel,vehicle_80s_hatch1_greendest,236.5,236.5
215,  xmodel,xmodel,com_conference_table1,25.5,25.7
216,  xmodel,xmodel,com_trashcan,54.3,54.6
217,  xmodel,xmodel,com_vending_bottle_lit,139.0,139.3
218,  xmodel,xmodel,com_vending_can_new1_lit,85.5,85.9
219,  xmodel,xmodel,com_vending_bottle2_lit,78.1,78.4
220,  xmodel,xmodel,ch_water_fountain,22.8,23.1
221,  xmodel,xmodel,foliage_red_pine_sm,50.4,50.4
222,  xmodel,xmodel,com_trashchuteslide,478.7,478.9
223,  xmodel,xmodel,foliage_shrub_group01,11.1,11.3
224,  xmodel,xmodel,foliage_grass_triangularclump,1.2,1.2
225,  xmodel,xmodel,vehicle_pickup_4door_static,690.7,690.7
226,  xmodel,xmodel,foliage_red_pine_stump_lg,41.2,41.4
227,  xmodel,xmodel,vehicle_uaz_fabric_static,799.4,800.7
228,  xmodel,xmodel,com_barrier_tall1,13.8,14.0
229,  xmodel,xmodel,me_concrete_barrier_dark,22.7,22.9
230,  xmodel,xmodel,vehicle_tractor_plow,110.3,110.6
231,  xmodel,xmodel,bog_b_cinderblock_clutter,8.6,8.9
232,  xmodel,xmodel,ch_haycart,290.6,290.9
233,  xmodel,xmodel,vehicle_80s_sedan1_yeldest,212.0,212.2
234,  xmodel,xmodel,vehicle_80s_hatch2_greendest,56.3,56.3
235,  xmodel,xmodel,vehicle_pickup_technical_destroyed,706.3,707.0
236,  xmodel,xmodel,com_pot_metal_lid,25.7,26.1
237,  xmodel,xmodel,com_teddy_bear,42.6,42.9
238,  xmodel,xmodel,me_fruit_orange,14.1,14.3
239,  xmodel,xmodel,ch_pillow_1,16.5,16.8
240,  xmodel,xmodel,com_wall_clock,11.8,12.0
241,  xmodel,xmodel,com_bottle3,11.2,11.2
242,  xmodel,xmodel,me_picture10,4.6,5.1
243,  xmodel,xmodel,me_picture7,4.4,4.6
244,  xmodel,xmodel,bathroom_soap,6.7,6.9
245,  xmodel,xmodel,com_bottle2,10.4,10.4
246,  xmodel,xmodel,com_laptop_open,35.6,36.0
247,  xmodel,xmodel,me_picture15,4.4,4.4
248,  xmodel,xmodel,com_tin_oval_flat,10.8,11.0
249,  xmodel,xmodel,com_tin_oval_tall,10.1,10.1
250,  xmodel,xmodel,com_tin_rectangular_flat03,15.2,15.2
251,  xmodel,xmodel,com_tin_rectangular_tall,15.4,15.4
252,  xmodel,xmodel,com_pan_metal,40.1,40.1
253,  xmodel,xmodel,com_pan_copper,38.0,38.0
254,  xmodel,xmodel,me_fruit_watermelon_oblong,23.9,24.2
255,  xmodel,xmodel,fx_watermelonchunk_01,9.1,9.2
256,  xmodel,xmodel,fx_watermelonchunk_02,12.4,12.4
257,  xmodel,xmodel,fx_watermelonchunk_03,10.2,10.2
258,  xmodel,xmodel,fx_watermelonchunk_04,10.6,10.6
259,  xmodel,xmodel,fx_watermelonchunk_05,5.8,5.8
260,  xmodel,xmodel,fx_watermelonchunk_06,4.2,4.2
261,  fx,fx,props/watermelon,3.9,4.0
262,  xmodel,xmodel,com_pot_metal,35.4,35.4
263,  xmodel,xmodel,com_barrel_shard4,5.9,5.9
264,  xmodel,xmodel,com_barrel_shard2,5.2,5.2
265,  xmodel,xmodel,com_hookah_pipe,149.7,150.0
266,  xmodel,xmodel,ch_pillow_2,15.8,15.8
267,  xmodel,xmodel,com_widescreen_monitor_on_1,26.3,26.7
268,  xmodel,xmodel,com_office_lamp02,29.6,29.7
269,  xmodel,xmodel,bathroom_toilet_lid,8.3,8.3
270,  xmodel,xmodel,com_milk_carton,6.4,6.7
271,  xmodel,xmodel,com_tv1,24.5,24.8
272,  xmodel,xmodel,vehicle_80s_wagon1_green_destructible_mp,553.0,554.1
273,  xmodel,xmodel,com_barrel_russian_fuel_dirt,13.6,13.9
274,  xmodel,xmodel,vehicle_80s_wagon1_silv_destructible_mp,189.7,189.9
275,  xmodel,xmodel,vehicle_80s_wagon1_red_destructible_mp,189.7,189.9
276,  techset,techset,sm2/wc_l_sm_r0c0n0s0,16.8,16.8
277,  techset,techset,sm2/wc_l_sm_r0c0,11.6,11.6
278,  techset,techset,sm2/wc_l_hsm_r0c0,8.2,8.2
279,  techset,techset,sm2/wc_l_hsm_r0c0n0,9.8,9.8
280,  techset,techset,wc_l_sm_r0c0n0s0,29.3,29.3
281,  techset,techset,wc_l_sm_r0c0,18.2,18.2
282,  techset,techset,wc_l_sm_r0c0s0,18.0,18.0
283,  techset,techset,wc_l_sm_r0c0n0,16.1,16.1
284,  techset,techset,wc_l_hsm_r0c0,9.4,9.4
285,  techset,techset,wc_l_hsm_r0c0s0,9.2,9.2
286,  techset,techset,wc_l_hsm_r0c0n0,10.9,10.9
287,  techset,techset,wc_l_hsm_r0c0n0s0,10.4,10.4
288,  techset,techset,sm2/wc_l_sm_t0c0n0s0,9.5,9.5
289,  techset,techset,sm2/wc_l_sm_t0c0,6.2,6.2
290,  techset,techset,sm2/wc_l_hsm_t0c0,5.7,5.7
291,  techset,techset,sm2/wc_l_hsm_t0c0n0,5.2,5.2
292,  techset,techset,wc_l_sm_t0c0n0s0,19.1,19.1
293,  techset,techset,wc_l_sm_t0c0,11.8,11.8
294,  techset,techset,wc_l_sm_t0c0s0,14.7,14.7
295,  techset,techset,wc_l_sm_t0c0n0,12.2,12.2
296,  techset,techset,wc_l_hsm_t0c0,7.1,7.1
297,  techset,techset,wc_l_hsm_t0c0s0,7.7,7.7
298,  techset,techset,wc_l_hsm_t0c0n0,6.8,6.8
299,  techset,techset,wc_l_hsm_t0c0n0s0,8.6,8.6
300,  techset,techset,sm2/wc_water,2.6,2.6
301,  techset,techset,wc_water,2.5,2.5
302,  techset,techset,sm2/wc_unlit_multiply,1.7,1.7
303,  techset,techset,wc_unlit_multiply,1.8,1.8
304,  techset,techset,sm2/wc_unlit_falloff_add,1.1,1.1
305,  techset,techset,wc_unlit_falloff_add,1.1,1.1
306,  techset,techset,sm2/wc_l_sm_r0c0d0n0s0,12.1,12.1
307,  techset,techset,sm2/wc_l_sm_r0c0d0,11.7,11.7
308,  techset,techset,sm2/wc_l_hsm_r0c0d0,7.9,7.9
309,  techset,techset,sm2/wc_l_hsm_r0c0d0n0,7.8,7.8
310,  techset,techset,wc_l_sm_r0c0d0n0s0,17.7,17.7
311,  techset,techset,wc_l_sm_r0c0d0,14.3,14.3
312,  techset,techset,wc_l_sm_r0c0d0s0,15.2,15.2
313,  techset,techset,wc_l_sm_r0c0d0n0,12.6,12.6
314,  techset,techset,wc_l_hsm_r0c0d0,7.5,7.5
315,  techset,techset,wc_l_hsm_r0c0d0s0,8.0,8.0
316,  techset,techset,wc_l_hsm_r0c0d0n0,7.0,7.0
317,  techset,techset,wc_l_hsm_r0c0d0n0s0,8.8,8.8
318,  techset,techset,sm2/wc_l_sm_b0c0d0n0,10.8,10.8
319,  techset,techset,sm2/wc_l_sm_b0c0d0,8.7,8.7
320,  techset,techset,sm2/wc_l_hsm_b0c0d0,6.2,6.2
321,  techset,techset,sm2/wc_l_hsm_b0c0d0n0,7.5,7.5
322,  techset,techset,wc_l_sm_b0c0d0n0,17.9,17.9
323,  techset,techset,wc_l_sm_b0c0d0,15.3,15.3
324,  techset,techset,wc_l_hsm_b0c0d0,7.9,7.9
325,  techset,techset,wc_l_hsm_b0c0d0n0,9.0,9.0
326,    material,material,wc/armada_water,48.2,48.2
327,  gfx_map,gfx_map,maps/mp/mp_wallace.d3dbsp,4942.4,5032.3
328,    map_ents,map_ents,maps/mp/mp_wallace.d3dbsp,10.0,10.0
329,  col_map_sp,col_map_sp,maps/mp/mp_wallace.d3dbsp,1218.5,1228.5
330,  impactfx,impactfx,,1.5,1.5
331,  sound,sound,artillery_explosion,1.2,1.2
332,  sound,sound,elm_metal_rattle,1.2,1.2
333,  sound,sound,mortar_incoming,1.6,1.6
334,  sound,sound,generic_death_arab_4,1.1,1.1
335,  rawfile,rawfile,maps/mp/_explosive_barrels.gsc,10.9,10.9
336,  xmodel,xmodel,body_mp_usmc_specops,411.4,411.9
337,  xmodel,xmodel,head_mp_usmc_tactical_mich_stripes_nomex,246.9,247.8
338,  xmodel,xmodel,body_mp_usmc_sniper,309.8,309.8
339,  xmodel,xmodel,head_mp_usmc_tactical_baseball_cap,182.5,183.0
340,  xmodel,xmodel,body_mp_usmc_recon,395.9,395.9
341,  xmodel,xmodel,head_mp_usmc_nomex,167.2,167.2
342,  xmodel,xmodel,body_mp_usmc_assault,397.0,397.0
343,  xmodel,xmodel,head_mp_usmc_tactical_mich,286.0,286.6
344,  xmodel,xmodel,body_mp_usmc_support,361.7,361.7
345,  xmodel,xmodel,head_mp_usmc_shaved_head,208.1,208.4
346,  xmodel,xmodel,body_mp_arab_regular_cqb,350.1,350.6
347,  xmodel,xmodel,head_mp_arab_regular_headwrap,150.8,151.1
348,  xmodel,xmodel,viewhands_desert_opfor,162.1,162.8
349,  xmodel,xmodel,body_mp_arab_regular_sniper,309.4,309.7
350,  xmodel,xmodel,head_mp_arab_regular_sadiq,176.1,176.4
351,  xmodel,xmodel,body_mp_arab_regular_engineer,382.9,383.1
352,  xmodel,xmodel,head_mp_arab_regular_ski_mask,108.7,109.0
353,  xmodel,xmodel,body_mp_arab_regular_assault,339.4,339.4
354,  xmodel,xmodel,head_mp_arab_regular_suren,184.9,185.2
355,  xmodel,xmodel,body_mp_arab_regular_support,271.9,271.9
356,  xmodel,xmodel,head_mp_arab_regular_asad,179.5,179.7
357,  xmodel,xmodel,vehicle_80s_sedan1_silv_destructible_mp,520.1,520.4
358,  xmodel,xmodel,vehicle_80s_sedan1_silv_destroyed,335.4,336.0
